Datetime,Fuel Cell Power 
18-03-2021 22:00,1426.0
29-11-2021 15:00,1538.0
17-06-2022 01:00,1490.0
06-06-2020 07:00,1309.0
15-06-2019 01:00,1318.0
29-06-2020 06:00,1260.0
24-04-2022 20:00,1396.0
22-12-2018 14:00,1523.0
31-03-2021 16:00,1525.0
07-10-2018 23:00,1490.0
27-02-2018 22:00,1805.0
14-07-2022 06:00,1572.0
14-10-2019 05:00,1217.0
01-09-2021 09:00,1672.0
13-08-2020 17:00,2017.0
02-11-2017 20:00,1776.0
11-07-2020 09:00,1452.0
01-10-2018 14:00,1838.0
25-01-2022 09:00,1644.0
03-03-2019 02:00,1687.0
08-10-2021 11:00,1436.0
12-09-2020 15:00,1526.0
08-11-2018 04:00,1396.0
13-02-2018 00:00,1581.0
30-01-2021 02:00,1507.0
25-01-2019 21:00,1984.0
01-08-2019 17:00,2188.0
08-11-2019 03:00,1313.0
22-01-2018 02:00,1721.0
11-11-2021 14:00,1479.0
24-09-2022 08:00,1255.0
05-08-2020 14:00,2137.0
04-03-2020 22:00,1833.0
02-03-2019 09:00,1611.0
28-04-2021 13:00,1508.0
16-03-2021 05:00,1168.0
25-02-2021 18:00,1729.0
06-03-2020 13:00,2006.0
08-03-2021 11:00,1526.0
04-07-2020 03:00,1304.0
20-12-2019 09:00,1636.0
19-01-2018 00:00,1601.0
09-05-2020 02:00,1454.0
14-03-2018 23:00,1700.0
09-04-2018 23:00,1619.0
08-10-2019 04:00,1154.0
26-07-2021 23:00,2087.0
05-06-2021 15:00,1666.0
31-10-2019 05:00,1253.0
18-11-2017 16:00,1510.0
09-05-2020 03:00,1384.0
08-08-2022 17:00,1862.0
17-05-2018 23:00,1609.0
14-07-2019 23:00,1914.0
18-08-2018 00:00,1492.0
06-02-2018 02:00,1602.0
14-04-2019 10:00,1666.0
10-07-2019 16:00,2264.0
25-09-2019 22:00,1616.0
30-01-2019 01:00,1897.0
11-07-2021 23:00,1967.0
26-12-2021 09:00,1396.0
03-05-2020 14:00,1331.0
05-02-2022 11:00,1554.0
07-10-2021 07:00,1344.0
02-07-2021 17:00,1536.0
20-11-2017 10:00,1709.0
10-03-2019 10:00,1805.0
18-12-2017 15:00,1763.0
11-09-2021 11:00,1534.0
11-09-2018 00:00,2176.0
27-01-2018 14:00,1666.0
15-02-2020 21:00,2061.0
20-01-2022 19:00,1614.0
11-04-2018 10:00,1696.0
28-06-2020 05:00,1204.0
08-09-2020 09:00,1888.0
03-02-2022 12:00,1795.0
10-02-2022 04:00,1523.0
04-09-2021 23:00,1526.0
15-07-2021 00:00,1933.0
27-11-2018 04:00,1499.0
27-03-2018 17:00,1748.0
26-09-2022 21:00,2208.0
18-04-2020 20:00,1428.0
04-07-2020 16:00,1765.0
28-07-2019 15:00,1843.0
15-07-2021 13:00,2294.0
27-02-2022 12:00,1649.0
26-11-2020 05:00,1218.0
07-01-2021 22:00,1714.0
27-04-2018 08:00,1299.0
20-02-2018 02:00,1616.0
08-02-2021 17:00,1625.0
24-03-2021 21:00,1469.0
17-01-2018 08:00,1778.0
19-10-2019 10:00,1336.0
01-01-2018 10:00,1506.0
30-06-2019 11:00,2181.0
28-08-2020 21:00,1804.0
09-02-2022 20:00,1895.0
04-12-2018 02:00,1434.0
06-07-2018 02:00,1719.0
31-05-2022 06:00,1278.0
28-09-2019 16:00,1452.0
21-04-2020 08:00,1437.0
04-03-2020 12:00,1864.0
28-09-2020 08:00,1545.0
21-02-2019 18:00,1752.0
02-11-2021 09:00,1506.0
09-08-2019 19:00,2011.0
20-10-2018 04:00,1240.0
18-11-2018 13:00,1656.0
14-08-2019 00:00,1414.0
27-01-2022 15:00,1733.0
31-10-2017 00:00,1497.0
15-05-2018 03:00,1298.0
23-03-2021 12:00,1538.0
05-11-2020 17:00,1649.0
23-03-2020 15:00,1638.0
01-06-2018 17:00,2289.0
03-05-2020 05:00,1065.0
30-06-2020 00:00,1436.0
15-11-2020 04:00,1205.0
18-06-2018 23:00,1743.0
07-06-2019 15:00,1721.0
02-06-2021 22:00,2018.0
08-05-2022 10:00,1452.0
07-11-2018 22:00,1693.0
25-02-2021 10:00,1685.0
15-01-2021 06:00,1471.0
02-07-2019 00:00,2130.0
28-12-2020 16:00,1679.0
04-10-2020 22:00,1386.0
19-06-2019 10:00,1971.0
13-04-2019 11:00,1375.0
25-01-2022 23:00,1434.0
08-03-2021 01:00,1164.0
25-02-2021 15:00,1704.0
09-05-2022 00:00,1202.0
26-03-2020 03:00,1270.0
06-06-2019 23:00,1559.0
14-07-2018 03:00,1556.0
03-12-2017 03:00,1296.0
04-10-2018 21:00,1909.0
25-10-2018 12:00,1760.0
03-12-2018 04:00,1409.0
09-04-2018 18:00,1717.0
25-12-2020 22:00,1338.0
16-07-2019 02:00,1420.0
31-12-2018 15:00,1894.0
07-05-2018 22:00,1620.0
29-05-2019 08:00,1682.0
28-02-2019 20:00,1988.0
05-05-2018 14:00,1377.0
31-01-2022 11:00,1751.0
01-04-2020 21:00,1539.0
27-04-2022 11:00,1614.0
15-10-2018 04:00,1251.0
21-01-2020 05:00,1518.0
09-05-2020 14:00,2018.0
18-09-2019 07:00,1396.0
12-09-2022 07:00,1296.0
04-12-2020 14:00,1597.0
13-04-2019 01:00,1248.0
13-07-2018 05:00,1325.0
16-10-2018 15:00,1759.0
31-03-2018 23:00,1508.0
22-06-2020 18:00,2467.0
25-07-2018 17:00,1958.0
21-11-2021 14:00,1699.0
25-11-2019 07:00,1561.0
14-01-2022 20:00,1662.0
05-02-2021 01:00,1388.0
23-03-2019 08:00,1447.0
01-11-2021 03:00,1175.0
20-07-2021 03:00,1443.0
24-03-2018 20:00,1671.0
07-11-2020 15:00,1346.0
30-09-2021 17:00,1546.0
10-06-2020 19:00,2350.0
27-06-2018 04:00,1651.0
30-05-2019 09:00,1663.0
08-06-2019 19:00,1752.0
29-04-2020 17:00,1593.0
07-08-2020 10:00,1710.0
27-06-2022 18:00,1616.0
19-07-2022 16:00,2682.0
09-04-2018 12:00,1713.0
06-05-2021 11:00,1488.0
17-02-2022 17:00,1532.0
21-10-2017 21:00,1569.0
04-11-2018 14:00,1756.0
26-07-2019 10:00,1621.0
12-02-2019 14:00,2049.0
10-04-2020 12:00,1646.0
07-08-2021 10:00,1554.0
25-12-2019 09:00,1355.0
16-06-2018 14:00,1584.0
22-12-2021 06:00,1459.0
06-02-2021 20:00,1582.0
04-07-2022 03:00,1415.0
16-11-2020 08:00,1524.0
12-09-2021 10:00,1608.0
18-08-2022 08:00,1832.0
18-10-2019 16:00,1382.0
24-04-2022 15:00,1462.0
02-11-2018 01:00,1310.0
26-12-2018 23:00,1733.0
09-12-2019 18:00,1905.0
23-05-2018 03:00,1469.0
18-07-2021 13:00,2239.0
27-04-2019 00:00,1251.0
07-09-2022 00:00,1290.0
10-04-2019 22:00,1612.0
03-07-2018 05:00,1604.0
14-05-2021 00:00,1224.0
04-12-2021 18:00,1654.0
13-09-2019 13:00,1432.0
12-03-2020 19:00,1596.0
29-08-2020 02:00,1306.0
26-05-2019 00:00,1294.0
10-05-2018 03:00,1305.0
11-06-2022 18:00,2122.0
26-07-2022 01:00,1423.0
05-10-2017 23:00,1521.0
06-07-2022 09:00,1872.0
17-11-2017 02:00,1441.0
26-10-2018 16:00,1517.0
18-03-2019 17:00,1702.0
02-12-2019 13:00,1835.0
09-08-2022 16:00,1949.0
08-11-2021 03:00,1166.0
15-02-2020 12:00,1922.0
17-06-2020 23:00,1774.0
04-05-2021 07:00,1311.0
27-09-2020 14:00,1499.0
24-09-2018 04:00,1218.0
12-12-2018 20:00,2167.0
23-07-2021 07:00,1571.0
20-03-2022 21:00,1529.0
28-12-2018 02:00,1446.0
26-06-2019 04:00,1443.0
06-06-2019 04:00,1261.0
22-05-2019 12:00,1865.0
29-12-2017 22:00,1794.0
25-09-2019 21:00,1709.0
28-08-2022 06:00,1320.0
29-08-2021 06:00,1587.0
29-06-2018 16:00,1980.0
15-12-2019 19:00,1846.0
15-05-2021 19:00,1308.0
27-10-2021 15:00,1556.0
29-07-2021 17:00,2422.0
30-12-2019 10:00,1764.0
16-08-2018 17:00,1971.0
16-12-2020 06:00,1354.0
21-12-2017 03:00,1408.0
30-12-2017 07:00,1513.0
10-07-2019 23:00,1866.0
19-10-2020 07:00,1459.0
31-03-2022 06:00,1248.0
04-11-2021 08:00,1428.0
